Time,Energy 1,Energy 2,Total,Scatterer,Absorber
17010078,280.451135,473.138386,753.589521,4,6
17104432,236.159516,424.237197,660.396713,3,8
17239596,250.496360,402.882259,653.378619,4,7
17295585,210.623591,441.815725,652.439316,2,7
17675521,259.391840,382.209155,641.600995,4,8
17858024,238.351787,387.746420,626.098206,2,6
17891943,257.123927,354.727733,611.851660,3,6
18204920,251.285520,390.464947,641.750467,4,6
18478926,168.266147,514.730785,682.996932,2,7
18601953,346.126589,270.574611,616.701200,4,5
18757646,407.636121,243.416166,651.052287,4,5
18774892,469.547273,125.944258,595.491531,4,6
18846984,250.687393,380.140203,630.827596,4,6
18905749,227.413601,434.258438,661.672039,3,8
19077464,235.738038,434.747366,670.485404,4,5
19229806,275.087945,378.786119,653.874065,4,7
19711434,259.760608,375.695551,635.456159,2,8
19756212,226.508738,383.217343,609.726081,1,6
19763736,252.376054,420.330957,672.707011,1,5
19827620,226.639094,437.381186,664.020280,2,6
20030616,228.117053,460.845004,688.962056,1,6
20269103,213.017320,426.743023,639.760343,2,7
20298120,234.525518,437.611407,672.136925,2,7
20331138,174.770404,485.324542,660.094946,3,5
20689611,274.302618,391.088115,665.390733,1,7
20734561,288.186682,399.255383,687.442066,1,7
20875953,376.033851,272.163236,648.197087,3,5
20975323,273.252782,358.560071,631.812853,2,8
21076936,260.416339,387.080504,647.496844,4,6
21314035,236.450502,428.014999,664.465501,3,7
21476618,258.945723,497.944386,756.890109,4,6
21560835,247.520635,438.499736,686.020371,3,6
21615020,321.374386,364.722225,686.096611,4,6
21683800,249.857498,446.344137,696.201634,1,5
21704017,200.807224,461.852451,662.659674,3,5
21992533,246.455880,421.337844,667.793724,1,6
22004984,247.108972,437.654494,684.763466,3,8
22298978,263.932973,432.190654,696.123628,4,6
22337768,260.336031,394.090090,654.426121,2,5
22690744,233.175692,439.433250,672.608942,1,5
22807313,220.567430,422.972574,643.540004,1,5
22808738,195.450282,472.385671,667.835953,2,5
22867853,205.024583,431.565491,636.590074,2,6
22977040,461.417582,153.676433,615.094014,1,8
23168256,515.467062,162.145095,677.612157,1,7
23544334,262.405875,370.273115,632.678990,1,5
23614449,239.937531,442.991495,682.929026,1,5
23658697,245.524482,413.728633,659.253116,3,8
23913284,231.635915,456.465503,688.101418,2,8
24112252,238.960428,383.792099,622.752527,2,7
24115168,234.476948,432.236277,666.713225,2,7
24191422,247.933435,388.397000,636.330435,3,6
24271919,367.662707,259.228268,626.890974,2,8
24290351,243.178055,428.365331,671.543385,2,7
24316821,544.892975,128.896647,673.789622,3,7
24354872,198.083604,456.514496,654.598100,4,5
24405262,217.702392,471.113388,688.815780,4,8
24434561,245.607053,384.350068,629.957121,1,6
24483601,457.532489,145.446382,602.978871,2,5
24736554,225.615114,452.243720,677.858834,3,7
24840746,281.142387,370.919956,652.062343,2,5
24843146,233.004810,448.880065,681.884875,3,8
24858409,295.610642,416.235959,711.846600,3,6
24905222,249.651505,429.556397,679.207901,2,7
25142110,235.854224,454.747960,690.602184,4,8
25445978,188.960821,474.618070,663.578891,1,5
25496781,248.957426,467.911713,716.869139,1,6
25678574,238.182264,417.765278,655.947542,4,5
25865057,187.679422,467.626577,655.306000,1,5
26415253,238.272714,363.155351,601.428065,4,6
26646342,528.677925,67.304187,595.982112,3,6
26662678,267.355139,384.572629,651.927768,2,5
26673166,253.667362,430.279225,683.946586,1,5
26683098,251.689568,406.445427,658.134995,2,6
26849778,258.173758,389.044465,647.218223,1,7
27117671,245.911140,415.357755,661.268895,4,5
27151321,228.528530,407.618786,636.147316,4,8
27402269,222.116863,405.275036,627.391899,1,6
27513698,215.936933,438.300777,654.237710,4,5
27599743,309.659897,389.242728,698.902625,4,7
27649181,249.892347,418.734446,668.626793,2,7
27722274,234.305914,427.579731,661.885645,2,6
27898866,190.487023,469.834988,660.322011,2,5
27926641,197.241443,453.844689,651.086132,1,5
27952961,216.423708,429.417127,645.840836,3,8
27969540,264.218245,459.185441,723.403686,2,6
28358926,452.356751,208.952692,661.309443,2,7
28502487,239.083780,421.868094,660.951875,3,8
28604789,263.188839,384.145640,647.334479,4,5
28630729,494.496493,237.091458,731.587951,4,6
28672114,226.643593,417.176500,643.820093,2,7
